 Days  |  Daily return (%)  |  Cumulative return (%)
=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=

    1           0.89%           0.89%
    2           1.30%           2.21%
    3           0.86%           3.09%
    4           0.95%           4.07%
    5           1.48%           5.61%
    6          -0.08%           5.52%
    7           0.12%           5.65%
    8           1.03%           6.74%
    9          -0.70%           5.99%
   10          -1.81%           4.07%
   11          -0.43%           3.62%
   12           0.33%           3.97%
   13          -0.68%           3.26%
   14           0.58%           3.85%
   15          -0.82%           3.00%
   16           1.62%           4.67%
   17          -0.05%           4.61%
   18           1.38%           6.05%
   19           0.07%           6.13%
   20          -0.56%           5.54%
   21          -0.37%           5.15%
   22          -2.05%           2.99%
   23          -0.29%           2.69%
   24          -0.68%           1.99%
   25          -0.42%           1.56%
   26          -2.55%          -1.04%
   27           0.54%          -0.50%
   28          -4.68%          -5.16%
   29          -0.15%          -5.30%
   30          -6.51%         -11.47%
   31           4.65%          -7.35%
   32          -4.42%         -11.45%
   33           4.49%          -7.47%
   34           0.67%          -6.85%
   35           2.12%          -4.88%
   36          -0.85%          -5.69%
   37           0.07%          -5.63%
   38          -4.31%          -9.70%
   39          -1.63%         -11.17%
   40           0.08%         -11.10%
   41           3.29%          -8.17%
   42           1.41%          -6.88%
   43          -1.52%          -8.30%
   44           1.45%          -6.97%
   45           2.87%          -4.30%
   46           0.27%          -4.04%
   47           0.44%          -3.62%
   48          -1.04%          -4.62%
   49          -2.56%          -7.06%
   50          -0.73%          -7.74%
   51           2.83%          -5.14%
   52          -1.04%          -6.12%
   53          -2.62%          -8.58%
   54           0.65%          -7.99%
   55           0.92%          -7.15%
   56           1.38%          -5.86%
   57           1.72%          -4.24%
   58           0.59%          -3.68%
   59          -0.99%          -4.63%
   60          -0.12%          -4.75%
   61          -2.95%          -7.55%
   62          -3.23%         -10.54%
   63           0.60%         -10.00%
   64           2.38%          -7.86%
   65           1.12%          -6.83%
   66          -2.05%          -8.73%
   67           0.80%          -8.01%
   68          -2.50%         -10.31%
   69          -2.85%         -12.86%
   70           2.19%         -10.95%
   71           1.85%          -9.30%
   72           1.81%          -7.66%
   73          -0.67%          -8.28%
   74           3.35%          -5.21%
   75           0.10%          -5.11%
   76           0.87%          -4.28%
   77          -0.20%          -4.47%
   78           1.71%          -2.84%
   79          -1.91%          -4.70%
   80           1.96%          -2.83%
   81          -1.18%          -3.98%
   82           0.43%          -3.56%
   83           1.90%          -1.73%
   84           1.23%          -0.53%
   85          -1.95%          -2.46%
   86           1.02%          -1.47%
   87           3.48%           1.96%
   88          -0.02%           1.94%
   89          -2.41%          -0.52%
   90          -2.79%          -3.29%
   91           1.63%          -1.71%
   92           1.82%           0.07%
   93          -0.61%          -0.53%
   94           0.62%           0.08%
   95           1.28%           1.37%
   96          -3.69%          -2.38%
   97           0.95%          -1.45%
   98           1.88%           0.40%
   99          -0.94%          -0.55%
  100           0.50%          -0.05%
  101          -1.59%          -1.64%
  102          -1.59%          -3.21%
  103          -0.11%          -3.31%
  104          -1.90%          -5.14%
  105          -0.40%          -5.52%
  106          -2.20%          -7.60%
  107          -0.19%          -7.78%
  108           2.90%          -5.10%
  109           0.28%          -4.84%
  110           4.12%          -0.92%
  111          -0.02%          -0.94%
  112          -0.09%          -1.03%
  113           1.09%           0.05%
  114           0.03%           0.08%
  115           0.38%           0.46%
  116          -2.19%          -1.75%
  117           1.70%          -0.08%
  118          -1.46%          -1.54%
  119          -0.94%          -2.46%
  120          -1.06%          -3.50%
  121           0.36%          -3.15%
  122           0.15%          -3.01%
  123          -1.07%          -4.04%
  124           3.03%          -1.14%
  125           0.19%          -0.95%
  126           0.89%          -0.07%
  127           0.89%           0.82%
  128           0.08%           0.90%
  129          -1.31%          -0.42%
  130           1.03%           0.61%
  131          -0.49%           0.11%
  132           1.59%           1.71%
  133           0.16%           1.87%
  134           0.27%           2.14%
  135          -0.26%           1.88%
  136           0.24%           2.12%
