Date,Open,High,Low,Close,Volume,Adj Close
2016-09-14,42.91,43.619999,42.860001,43.459999,11617300,43.459999
2016-09-13,43.189999,43.52,42.689999,43.040001,10120800,43.040001
2016-09-12,42.279999,43.650002,42.18,43.459999,10767000,43.459999
2016-09-09,43.919998,44.150002,42.82,42.919998,11983300,42.919998
2016-09-08,44.07,44.720001,44.029999,44.360001,7879600,44.360001
2016-09-07,44.549999,44.919998,44.189999,44.349998,9076700,44.349998
2016-09-06,43.50,44.849998,43.50,44.709999,17735500,44.709999
2016-09-02,43.27,43.599998,43.080002,43.279999,7334900,43.279999
2016-09-01,42.779999,43.099998,42.720001,42.93,5551900,42.93
2016-08-31,42.459999,42.799999,42.459999,42.75,7710800,42.75
2016-08-30,42.279999,42.740002,42.279999,42.580002,5795300,42.580002
2016-08-29,42.200001,42.459999,42.080002,42.259998,4527800,42.259998
2016-08-26,42.150002,42.610001,41.939999,42.27,6324100,42.27
2016-08-25,41.830002,42.240002,41.73,42.029999,5354700,42.029999
2016-08-24,42.50,42.77,41.790001,41.91,6926500,41.91
2016-08-23,42.610001,42.91,42.450001,42.599998,8960300,42.599998
2016-08-22,42.84,42.869999,42.330002,42.52,6227900,42.52
2016-08-19,42.799999,43.119999,42.650002,43.02,9460800,43.02
2016-08-18,42.689999,42.970001,42.59,42.900002,11293900,42.900002
2016-08-17,42.389999,42.75,42.389999,42.700001,8571900,42.700001
2016-08-16,42.299999,42.790001,41.950001,42.490002,13793800,42.490002
2016-08-15,43.18,43.290001,42.43,42.669998,14441800,42.669998
